address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state,business_parking,ambience,categories_array
756 Dundas St W,"{""BikeParking"": ""True"", ""RestaurantsTakeOut"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",iZ7WmS_6pAuP9PQ0VsUIMw,"""Food, Bubble Tea""",Downtown Toronto,"{""Monday"": ""11:30-21:0"", ""Tuesday"": ""11:30-21:0"", ""Wednesday"": ""11:30-21:0"", ""Thursday"": ""11:30-21:0"", ""Friday"": ""11:30-22:0"", ""Saturday"": ""11:30-22:0"", ""Sunday"": ""11:30-21:0""}",1,43.652355299999996,-79.4067188,Presotea,M6L 1T8,3,2.5,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Food,Bubble Tea}"
"7521 W Cactus Rd, Ste 101","{""ByAppointmentOnly"": ""False"", ""OutdoorSeating"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsTakeOut"": ""True"", ""BikeParking"": ""True"", ""RestaurantsDelivery"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""Caters"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""WiFi"": ""u'free'""}",-PABBD9nMgAYZHSShqGsjg,"""Coffee & Tea, Juice Bars & Smoothies, Bubble Tea, Ice Cream & Frozen Yogurt, Food""",Peoria,"{""Monday"": ""9:30-23:30"", ""Tuesday"": ""9:30-23:30"", ""Wednesday"": ""9:30-23:30"", ""Thursday"": ""9:30-23:30"", ""Friday"": ""10:0-0:0"", ""Saturday"": ""10:0-0:0"", ""Sunday"": ""10:0-0:0""}",1,33.594428,-112.220875,Bomboba,85345,278,3.5,AZ,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Coffee & Tea,Juice Bars & Smoothies,Bubble Tea,Ice Cream & Frozen Yogurt,Food}"
352 Queen St W,null,i7HCZRc45S9V4nfDgfb36Q,"""Juice Bars & Smoothies, Bubble Tea, Food, Tea Rooms""",Toronto,"{""Monday"": ""12:0-23:0"", ""Tuesday"": ""12:0-23:0"", ""Wednesday"": ""12:0-23:0"", ""Thursday"": ""12:0-23:0"", ""Friday"": ""12:0-0:0"", ""Saturday"": ""12:0-0:0"", ""Sunday"": ""12:0-23:0""}",1,43.6491769565,-79.395286579,CoCo Bubble Tea,M5V 2A2,3,4.5,ON,,,"{Juice Bars & Smoothies,Bubble Tea,Food,Tea Rooms}"
420-20 Crowfoot Crescent NW,"{""RestaurantsReservations"": ""True"", ""HasTV"": ""False"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", ""RestaurantsTableService"": ""True"", ""Alcohol"": ""u'beer_and_wine'"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsDelivery"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsAttire"": ""u'casual'"", ""BikeParking"": ""True"", ""GoodForKids"": ""True"", ""NoiseLevel"": ""u'average'"", ""WiFi"": ""u'free'"", ""RestaurantsTakeOut"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}",cNIH8WCqbg_bPQ4oWAB_4w,"""Vietnamese, Coffee & Tea, Bubble Tea, Food, Korean, Restaurants""",Calgary,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-21:0""}",1,51.125793,-114.198525,Crunchy House,T3G 2P6,25,4,AB,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Vietnamese,Coffee & Tea,Bubble Tea,Food,Korean,Restaurants}"
207 Dundas Street W,"{""RestaurantsPriceRange2"": ""1"", ""BikeParking"": ""True"", ""WiFi"": ""'free'"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""OutdoorSeating"": ""False""}",RQB8Jd3izqw1Mk1ypeO4nA,"""Food, Bubble Tea, Coffee & Tea""",Toronto,"{""Monday"": ""11:0-23:0"", ""Tuesday"": ""11:0-23:0"", ""Wednesday"": ""11:0-23:0"", ""Thursday"": ""11:0-23:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""11:0-23:0"", ""Sunday"": ""11:0-23:0""}",0,43.6548555,-79.3877554,Kung Fu Tea Shop,M5G 2E8,18,4,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Food,Bubble Tea,Coffee & Tea}"
"5597 S Rainbow Blvd, Ste 130","{""WiFi"": ""'free'"", ""HasTV"": ""False"", ""GoodForMeal"": ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""RestaurantsGoodForGroups"": ""True"", ""RestaurantsReservations"": ""False"", ""RestaurantsTableService"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsAttire"": ""u'casual'"", ""WheelchairAccessible"": ""True"", ""Caters"": ""True"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""False"", ""NoiseLevel"": ""u'average'"", ""GoodForKids"": ""True"", ""BikeParking"": ""True"", ""RestaurantsDelivery"": ""True"", ""Alcohol"": ""u'none'"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",VzUo-RURV3VnfNItAYM8yg,"""Asian Fusion, Chinese, Bubble Tea, Hawaiian, Restaurants, Food, Coffee & Tea""",Las Vegas,"{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-0:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-22:0""}",1,36.0875159,-115.243704,Boba Hut,89118,312,4,NV,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Asian Fusion,Chinese,Bubble Tea,Hawaiian,Restaurants,Food,Coffee & Tea}"
6050 W Chandler Blvd,"{""RestaurantsDelivery"": ""False"", ""RestaurantsTakeOut"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""BikeParking"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""OutdoorSeating"": ""False"", ""WiFi"": ""u'free'"", ""Caters"": ""False"", ""ByAppointmentOnly"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""Alcohol"": ""'none'"", ""WheelchairAccessible"": ""True""}",0GVu1xLqxbUQLfSCp25OGQ,"""Food, Coffee & Tea, Juice Bars & Smoothies, Bubble Tea""",Chandler,"{""Monday"": ""10:0-21:0"", ""Tuesday"": ""10:0-21:0"", ""Wednesday"": ""10:0-21:0"", ""Thursday"": ""10:0-21:0"", ""Friday"": ""10:0-21:0"", ""Saturday"": ""10:0-21:0"", ""Sunday"": ""11:0-19:0""}",1,33.3058373,-111.9463339,TeaStreet,85226,98,4,AZ,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Food,Coffee & Tea,Juice Bars & Smoothies,Bubble Tea}"
"4300 Steels Avenue E, Unit C2","{""OutdoorSeating"": ""False"", ""WiFi"": ""u'no'"", ""RestaurantsTakeOut"": ""True"", ""BusinessParking"": ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""BikeParking"": ""True"", ""RestaurantsPriceRange2"": ""1""}",sDGs7bPWB0CzR80EebchIQ,"""Bubble Tea, Coffee & Tea, Food, Juice Bars & Smoothies""",Markham,"{""Monday"": ""11:0-20:0"", ""Tuesday"": ""11:0-20:0"", ""Wednesday"": ""11:0-20:0"", ""Thursday"": ""11:0-20:0"", ""Friday"": ""11:0-21:0"", ""Saturday"": ""11:0-21:0""}",1,43.8259100453,-79.3073092146,Presotea,L3R 0Y5,37,3.5,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""TRUE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Bubble Tea,Coffee & Tea,Food,Juice Bars & Smoothies}"
"4480 Spring Mountain Rd, Ste 600","{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""Caters"": ""True"", ""RestaurantsTakeOut"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""BikeParking"": ""True"", ""WiFi"": ""u'free'"", ""WheelchairAccessible"": ""True"", ""RestaurantsPriceRange2"": ""1""}",jChYROMc17z2Wwv6ClE2rg,"""Food, Bubble Tea, Ice Cream & Frozen Yogurt, Desserts""",Las Vegas,{"Thursday": "13:0-22:0"},0,36.1267301,-115.2013207,Flavyours,89102,147,4.5,NV,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Food,Bubble Tea,Ice Cream & Frozen Yogurt,Desserts}"
"6629 South Las Vegas Boulevard, 6629 Las Vegas Blvd S","{""RestaurantsTakeOut"": ""True"", ""BusinessParking"": ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""Caters"": ""False"", ""BikeParking"": ""True"", ""WiFi"": ""'no'"", ""RestaurantsPriceRange2"": ""1"", ""BusinessAcceptsCreditCards"": ""True"", ""OutdoorSeating"": ""True""}",JS6HR-6NndrHJcmeY30_dg,"""Bubble Tea, Juice Bars & Smoothies, Food, Coffee & Tea""",Las Vegas,"{""Monday"": ""10:0-21:0"", ""Tuesday"": ""10:0-21:0"", ""Wednesday"": ""10:0-21:0"", ""Thursday"": ""10:0-21:0"", ""Friday"": ""10:0-22:0"", ""Saturday"": ""10:0-22:0"", ""Sunday"": ""11:0-20:0""}",1,36.0676542702,-115.1767036741,Lollicup,89119,109,3.5,NV,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""TRUE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Bubble Tea,Juice Bars & Smoothies,Food,Coffee & Tea}"
"7480 W Bell Rd, Ste 108","{""DogsAllowed"": ""False"", ""Alcohol"": ""u'none'"", ""WheelchairAccessible"": ""True"", ""OutdoorSeating"": ""True"", ""RestaurantsDelivery"": ""False"", ""BusinessAcceptsBitcoin"": ""False"", ""BikeParking"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""HasTV"": ""True"", ""Caters"": ""False"", ""RestaurantsGoodForGroups"": ""False"", ""RestaurantsAttire"": ""'casual'"", ""GoodForKids"": ""True"", ""RestaurantsReservations"": ""False"", ""DriveThru"": ""False"", ""WiFi"": ""'no'"", ""RestaurantsTakeOut"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}",oUJXPurI_LFTZhRCZcRNcg,"""Fast Food, Juice Bars & Smoothies, Bubble Tea, Restaurants, Food, Coffee & Tea""",Glendale,"{""Monday"": ""12:0-19:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""11:0-23:0"", ""Sunday"": ""12:0-19:0""}",1,33.6400134,-112.2196334,Zero Degrees,85308,309,3.5,AZ,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""FALSE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Fast Food,Juice Bars & Smoothies,Bubble Tea,Restaurants,Food,Coffee & Tea}"
